ID	ProcessClass_ID	TransferClass_ID	Equipment_ID	SignalName	TagAddress	ValueType	Direction	Description	LastSaved	ConfiguredBy
1	8	NULL	36	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:14:18.227	TPMDB
2	8	NULL	36	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:14:18.227	TPMDB
3	8	NULL	36	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:14:18.227	TPMDB
4	8	NULL	36	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:14:18.227	TPMDB
5	8	NULL	36	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:14:18.227	TPMDB
6	8	NULL	37	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:14:35.410	TPMDB
7	8	NULL	37	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:14:35.410	TPMDB
8	8	NULL	37	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:14:35.410	TPMDB
9	8	NULL	37	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:14:35.410	TPMDB
10	8	NULL	37	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:14:35.410	TPMDB
11	8	NULL	38	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:14:52.507	TPMDB
12	8	NULL	38	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:14:52.507	TPMDB
13	8	NULL	38	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:14:52.507	TPMDB
14	8	NULL	38	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:14:52.507	TPMDB
15	8	NULL	38	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:14:52.507	TPMDB
16	8	NULL	39	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:14:58.030	TPMDB
17	8	NULL	39	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:14:58.030	TPMDB
18	8	NULL	39	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:14:58.030	TPMDB
19	8	NULL	39	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:14:58.030	TPMDB
20	8	NULL	39	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:14:58.030	TPMDB
21	8	NULL	40	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:15:10.173	TPMDB
22	8	NULL	40	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:15:10.173	TPMDB
23	8	NULL	40	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:15:10.173	TPMDB
24	8	NULL	40	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:15:10.173	TPMDB
25	8	NULL	40	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:15:10.173	TPMDB
26	8	NULL	41	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:15:15.267	TPMDB
27	8	NULL	41	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:15:15.267	TPMDB
28	8	NULL	41	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:15:15.267	TPMDB
29	8	NULL	41	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:15:15.267	TPMDB
30	8	NULL	41	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:15:15.267	TPMDB
31	20	NULL	63	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:18:43.127	TPMDB
32	20	NULL	63	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:18:43.127	TPMDB
33	20	NULL	63	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:18:43.127	TPMDB
34	20	NULL	63	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:18:43.143	TPMDB
35	20	NULL	63	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:18:43.143	TPMDB
36	20	NULL	70	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:18:53.573	TPMDB
37	20	NULL	70	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:18:53.573	TPMDB
38	20	NULL	70	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:18:53.573	TPMDB
39	20	NULL	70	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:18:53.573	TPMDB
40	20	NULL	70	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:18:53.573	TPMDB
41	20	NULL	77	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:19:01.340	TPMDB
42	20	NULL	77	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:19:01.340	TPMDB
43	20	NULL	77	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:19:01.340	TPMDB
44	20	NULL	77	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:19:01.340	TPMDB
45	20	NULL	77	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:19:01.340	TPMDB
46	20	NULL	84	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:19:08.327	TPMDB
