ID	Recipe_RID	Recipe_Version	TPIBK_StepType_ID	ProcessClassPhase_ID	Step	UserString	RecipeEquipmentTransition_Data_ID	NextStep	Allocation_Type_ID	LateBinding	Material_ID	ProcessClass_ID
217	BatchTanksTest	1	1	65	5		NULL	NULL	0	0	40	143
218	BatchTanksTest	1	1	63	10		NULL	NULL	0	0	NULL	143
219	BatchTanksTest	1	1	140	15		NULL	NULL	0	0	NULL	143
220	BatchTanksTest	1	1	66	20		NULL	NULL	0	0	40	143
221	BatchTanksTest	1	1	62	25		NULL	NULL	0	0	53	143
222	BatchTanksTest	1	1	134	30		NULL	NULL	0	0	NULL	143
223	BatchTanksTest	1	1	136	35		NULL	NULL	0	0	40	143
224	BatchTanksTest	1	1	141	40		NULL	NULL	0	0	40	143
225	BatchTanksTest	1	1	143	45		NULL	NULL	0	0	53	143
226	BatchTanksTest	1	1	59	50		NULL	NULL	0	0	40	144
227	BatchTanksTest	1	1	57	55		NULL	NULL	0	0	40	144
228	BatchTanksTest	1	1	50	60		NULL	NULL	0	0	51	145
229	BatchTanksTest	1	1	60	65		NULL	NULL	0	0	53	146
230	BatchTanksTest	1	1	70	70		NULL	NULL	0	0	54	147
231	BatchTanksTest	1	1	73	75		NULL	NULL	0	0	54	147
232	BatchTanksTest	1	1	133	80		NULL	NULL	0	0	54	147
233	BatchTanksTest	1	1	25	85		NULL	NULL	0	0	NULL	148
237	FrucSuc_Test_Recipe	1	8	NULL	5		NULL	NULL	0	0	NULL	155
238	FrucSuc_Test_Recipe	1	8	NULL	10		NULL	NULL	0	0	NULL	161
239	FrucSuc_Test_Recipe	1	1	44	15		NULL	NULL	0	0	37	161
240	FrucSuc_Test_Recipe	1	8	NULL	12		NULL	NULL	0	0	NULL	158
241	FrucSuc_Test_Recipe	1	2	51	20		NULL	NULL	0	0	63	159
242	FrucSuc_Test_Recipe	1	2	54	25		NULL	NULL	0	0	44	159
243	FrucSuc_Test_Recipe	1	2	52	22		NULL	NULL	0	0	NULL	159
244	FrucSuc_Test_Recipe	1	2	54	30		NULL	NULL	0	0	41	159
245	FrucSuc_Test_Recipe	1	3	51	35		NULL	NULL	0	0	41	159
246	FrucSuc_Test_Recipe	1	9	NULL	40		NULL	NULL	0	0	NULL	159
247	FrucSuc_Test_Recipe	1	8	NULL	13		NULL	NULL	0	0	NULL	159
248	FrucSuc_Test_Recipe	1	9	NULL	45		NULL	NULL	0	0	NULL	158
