ID	TPIBK_RecipeParameterData_ID	TPIBK_RecipeBatchData_ID	Value	CustomEU
62	57	217	25	Lbs
63	58	219	22	Gal
64	59	220	22	
65	65	220	25	
66	73	221	22	
67	72	221	150	Gal
68	53	223	25	Gal
69	54	224	52	
70	56	225	150	Gal
71	51	226	0	
72	74	227	55	Gal
73	75	227	25	Lbs
74	52	228	25	Gal
75	76	229	51	Gal
76	49	230	25	Gal
77	48	231	55	Lbs
78	47	232	52	
80	68	233	1	
81	78	233	1	
86	69	242	2	
90	69	243	1	
99	69	257	2	
103	69	258	1	
112	69	272	2	
116	69	273	1	
125	69	287	1	
129	69	299	1	
136	69	312	1	
143	69	325	1	
150	69	338	1	
154	69	350	1	
161	69	363	1	
166	69	376	1	
168	99	383	1.5	
169	100	383	2.5	
172	69	389	1	
174	99	396	1.5	
175	100	396	2.5	
177	50	401	1	Gal
178	50	410	1	Gal
179	50	419	36	Gal
180	44	426	45	Gal
181	44	428	1800	Gal
183	44	443	45	Gal
184	44	445	1800	Gal
185	44	455	45	Gal
186	44	457	1800	Gal
187	67	457	1	
188	60	457	150	Gal
189	44	467	2500	Gal
190	44	469	1800	Gal
191	67	469	1	
192	60	469	1500	Gal
193	61	473	850	Gal
194	44	489	2500	Gal
195	44	491	1800	Gal
196	67	491	1	
197	60	491	1500	Gal
198	61	495	850	Gal
199	76	504	7500	Gal
200	72	505	1250	Gal
201	73	505	85	
202	44	512	2500	Gal
203	44	514	1800	Gal
204	67	514	1	
205	60	514	1500	Gal
206	61	518	850	Gal
207	76	527	7500	Gal
208	72	528	1250	Gal
209	73	528	85	
210	44	537	2500	Gal
211	44	539	1800	Gal
212	67	539	1	
213	60	539	1500	Gal
214	61	543	850	Gal
215	76	552	7500	Gal
216	72	553	1250	Gal
217	73	553	85	
218	44	562	2500	Gal
219	44	564	1800	Gal
220	67	564	1	
221	60	564	1500	Gal
222	61	568	850	Gal
223	76	577	7500	Gal
224	72	578	1250	Gal
225	73	578	85	
226	44	587	2500	Gal
227	44	589	1800	Gal
228	67	589	1	
229	60	589	1500	Gal
230	61	593	850	Gal
231	76	602	7500	Gal
232	72	603	1250	Gal
233	73	603	85	
234	44	614	2500	Gal
235	44	616	1800	Gal
236	67	616	1	
237	60	616	1500	Gal
238	61	620	850	Gal
239	76	629	7500	Gal
240	72	630	1250	Gal
241	73	630	85	
242	44	641	2500	Gal
243	44	643	1800	Gal
244	67	643	1	
245	60	643	1500	Gal
246	61	647	850	Gal
247	76	656	7500	Gal
248	72	657	1250	Gal
249	73	657	85	
250	74	662	800	Gal
251	75	662	1500	Lbs
253	98	667	0	
254	69	668	1	
256	99	672	25	
257	100	672	1.153	
259	70	674	0	
260	69	675	1	
261	69	677	1	
263	98	685	0	
264	69	686	1	
266	99	690	25	
267	100	690	1.153	
269	70	692	0	
270	69	693	1	
271	69	695	1	
273	98	702	0	
274	69	703	1	
276	99	707	25	
277	100	707	1.153	
279	70	709	0	
280	69	710	1	
281	69	712	1	
282	96	718	0	
283	79	719	1	
284	80	719	1.235	
285	81	719	5500	Gal
286	82	719	15	Brix
291	60	723	1500	Gal
292	67	723	0	
293	50	728	250	Gal
294	44	732	350	Gal
296	49	736	0	Gal
298	48	740	45	Lbs
299	49	742	1	Gal
301	74	751	250	Gal
302	75	751	350	Lbs
303	51	752	38	Lbs
304	51	753	41	Lbs
307	74	755	0	Gal
308	75	755	0	Lbs
309	61	761	150	Gal
310	61	762	1	Gal
311	74	764	0	Gal
312	75	764	0	Lbs
313	44	768	1	Gal
314	50	771	1	Gal
315	60	774	0	Gal
316	67	774	0	
319	60	777	1500	Gal
320	67	777	1	
